Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1411,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",,,,2019-2022 COVID-19 Pandemic,200792689.2,0.37
1173,COVID-19 Solidarity Response Fund,,,,2019-2022 COVID-19 Pandemic,194938818,0.36
973,Japan,wpro,Asia,Eastern Asia,2019-2022 COVID-19 Pandemic,187350734,0.34
1055,Spain,euro,Europe,Southern Europe,2019-2022 COVID-19 Pandemic,183180927.40990925,0.34
1042,Saudi Arabia,emro,Asia,Western Asia,2019-2022 COVID-19 Pandemic,183000000,0.34
1060,Switzerland,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,157281053.4218064,0.29
971,Italy,euro,Europe,Southern Europe,2019-2022 COVID-19 Pandemic,142302886.6448736,0.26
883,Australia,wpro,Oceania,Australia and New Zealand,2019-2022 COVID-19 Pandemic,128668140.9080585,0.24
913,China,wpro,Asia,Eastern Asia,2019-2022 COVID-19 Pandemic,125100000,0.23
979,Kuwait,emro,Asia,Western Asia,2019-2022 COVID-19 Pandemic,115500000,0.21
891,Belgium,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,92269359.69914508,0.17
1701,King Salman Humanitarian Aid and Relief Centre,,,,2019-2022 COVID-19 Pandemic,91271410,0.17
1460,Wellcome Trust,,,,2019-2022 COVID-19 Pandemic,76094450,0.14
1030,Republic of Korea,wpro,Asia,Eastern Asia,2019-2022 COVID-19 Pandemic,72622396.01629022,0.13
967,Iran,emro,Asia,Southern Asia,2019-2022 COVID-19 Pandemic,51793834,0.10
944,Finland,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,48289535.79451974,0.09
969,Ireland,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,42017723.645399764,0.08
1333,Oxfam International,,,,2019-2022 COVID-19 Pandemic,41084479.151850335,0.08
1807,Islamic Development Bank,,,,2019-2022 COVID-19 Pandemic,33176422,0.06
1359,Reed Hastings and Patty Quillin,,,,2019-2022 COVID-19 Pandemic,30000000,0.06
1290,Mastercard,,,,2019-2022 COVID-19 Pandemic,26800000,0.05
1781,Disasters Emergency Committee,,,,2019-2022 COVID-19 Pandemic,25475793.771934208,0.05
1939,Anonymous,,,,2019-2022 COVID-19 Pandemic,24000000,0.04
1818,Susan Thompson Buffett Foundation,,,,2019-2022 COVID-19 Pandemic,20105294,0.04
1086,Yemen,emro,Asia,Western Asia,2019-2022 COVID-19 Pandemic,20000000,0.04
1774,International Fund for Agricultural Development (IFAD),,,,2019-2022 COVID-19 Pandemic,18076119.384433195,0.03
871,Afghanistan,emro,Asia,Southern Asia,2019-2022 COVID-19 Pandemic,15261849,0.03
1352,Plan International,,,,2019-2022 COVID-19 Pandemic,13832905.277710859,0.03
1362,Rockefeller Foundation,,,,2019-2022 COVID-19 Pandemic,12475248,0.02
957,Guinea Bissau,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,11831789,0.02
1172,Cordaid,,,,2019-2022 COVID-19 Pandemic,10132685.231447784,0.02
885,Azerbaijan,euro,Asia,Western Asia,2019-2022 COVID-19 Pandemic,10000000,0.02
1377,Save the Children,,,,2019-2022 COVID-19 Pandemic,8999378.179569747,0.02
1934,East African Community,afro,,,2019-2022 COVID-19 Pandemic,8518534,0.02
1811,Southern African Development Community Secretariat (SADC),,,,2019-2022 COVID-19 Pandemic,8503380,0.02
1142,CARE International,,,,2019-2022 COVID-19 Pandemic,7706125.0210203715,0.01
1783,Stichting Beheer Subsidiegelden DRA,,,,2019-2022 COVID-19 Pandemic,7299202.300231565,0.01
948,Gabon,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,6827642,0.01
1384,Simavi,,,,2019-2022 COVID-19 Pandemic,6409266.698743044,0.01
884,Austria,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,5664164,0.01
983,Lebanon,emro,Asia,Western Asia,2019-2022 COVID-19 Pandemic,5562072,0.01
1225,GOAL,,,,2019-2022 COVID-19 Pandemic,5316827.658434227,0.01
1047,Singapore,wpro,Asia,South-eastern Asia,2019-2022 COVID-19 Pandemic,5210054,0.01
1920,National Philanthropic Trust (NPT),,,,2019-2022 COVID-19 Pandemic,5176212,0.01
1925,Wise,,,,2019-2022 COVID-19 Pandemic,5000000,0.01
1415,TikTok,,,,2019-2022 COVID-19 Pandemic,5000000,0.01
1096,ActionAid International,,,,2019-2022 COVID-19 Pandemic,4741086.425341378,0.01
1625,HelpAge International,,,,2019-2022 COVID-19 Pandemic,4602796.236712009,0.01
1093,Action Against Hunger,,,,2019-2022 COVID-19 Pandemic,4470265.107267149,0.01
1769,Norwegian Refugee Council,,,,2019-2022 COVID-19 Pandemic,4284709.447342173,0.01
989,Luxembourg,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,4266599,0.01
1933,Soccer Aid,,,,2019-2022 COVID-19 Pandemic,4240000,0.01
1816,Thistledown Foundation,,,,2019-2022 COVID-19 Pandemic,4140000,0.01
964,Iceland,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,4015163,0.01
1453,Vital Strategies/Resolve to Save Lives,,,,2019-2022 COVID-19 Pandemic,3862183,0.01
952,Greece,euro,Europe,Southern Europe,2019-2022 COVID-19 Pandemic,3826670,0.01
991,Madagascar,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,3700000,0.01
1041,Sao Tome and Principe,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,3329579,0.01
1836,TradeMark East Africa,,,,2019-2022 COVID-19 Pandemic,3279624.5,0.01
1757,GlobalGiving.org,,,,2019-2022 COVID-19 Pandemic,3255918,0.01
1275,King Baudouin Foundation,,,,2019-2022 COVID-19 Pandemic,3250000,0.01
1146,Catholic Agency For Overseas Development (CAFOD),,,,2019-2022 COVID-19 Pandemic,2903567.31833046,0.01
1475,World Vision International,,,,2019-2022 COVID-19 Pandemic,2872376.7702689073,0.01
1383,Sightsavers,,,,2019-2022 COVID-19 Pandemic,2786767.2052558707,0.01
1668,SOS Children's Villages The Netherlands,,,,2019-2022 COVID-19 Pandemic,2544502.3985076104,0.00
910,Central African Republic,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,2450000,0.00
1044,Serbia,euro,Europe,Southern Europe,2019-2022 COVID-19 Pandemic,2310783,0.00
1232,Handicap International,,,,2019-2022 COVID-19 Pandemic,2274630.8910829606,0.00
1028,Portugal,euro,Europe,Southern Europe,2019-2022 COVID-19 Pandemic,2239716,0.00
911,Chad,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,2145554,0.00
956,Guinea,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,1794462,0.00
1226,Goldman Sachs,,,,2019-2022 COVID-19 Pandemic,1629961,0.00
1961,War Child International,,,,2019-2022 COVID-19 Pandemic,1618137.514732847,0.00
1766,People in Need,,,,2019-2022 COVID-19 Pandemic,1596795.4248194443,0.00
1026,Philippines,wpro,Asia,South-eastern Asia,2019-2022 COVID-19 Pandemic,1569153,0.00
1203,Fédération Internationale de Football Association (FIFA),,,,2019-2022 COVID-19 Pandemic,1500000,0.00
1329,OPEC Fund for International Development,,,,2019-2022 COVID-19 Pandemic,1500000,0.00
1978,Fidelity Charitable,,,,2019-2022 COVID-19 Pandemic,1489806,0.00
915,Comoros,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,1356625,0.00
1643,Concern Worldwide,,,,2019-2022 COVID-19 Pandemic,1317255.2827027035,0.00
1808,Gamers Without Borders,,,,2019-2022 COVID-19 Pandemic,1300000,0.00
926,Democratic Republic of the Congo,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,1285398,0.00
1600,Tearfund,,,,2019-2022 COVID-19 Pandemic,1282091.3175436035,0.00
1550,Danish Refugee Council,,,,2019-2022 COVID-19 Pandemic,1158116.4294621006,0.00
1622,Aga Khan Foundation (United Kingdom),,,,2019-2022 COVID-19 Pandemic,1131332.79305667,0.00
995,Mali,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,1106717,0.00
985,Liberia,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,1073696,0.00
966,Indonesia,searo,Asia,South-eastern Asia,2019-2022 COVID-19 Pandemic,1000000,0.00
998,Mauritania,afro,Africa,Sub-Saharan Africa,2019-2022 COVID-19 Pandemic,933169,0.00
1000,Mexico,amro,Americas,Latin America and the Caribbean,2019-2022 COVID-19 Pandemic,900000,0.00
1001,Monaco,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,852745,0.00
963,Hungary,euro,Europe,Eastern Europe,2019-2022 COVID-19 Pandemic,841148,0.00
