Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1440,United Nations World Food Programme (WFP),,,,2018-2020 Ebola in DRC,279940,0.00
1261,International Rescue Committee,,,,2018-2020 Ebola in DRC,234236.69884214678,0.00
1142,CARE International,,,,2018-2020 Ebola in DRC,200000,0.00
1475,World Vision International,,,,2018-2020 Ebola in DRC,89894,0.00
1604,World Vision UK,,,,2018-2020 Ebola in DRC,89894,0.00
1334,Oxfam Novib,,,,2018-2020 Ebola in DRC,86572.33624197688,0.00
1262,International Rescue Committee UK,,,,2018-2020 Ebola in DRC,78964.99884214679,0.00
1762,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,,2018-2020 Ebola in DRC,41153,0.00
1771,The William and Flora Hewlett Foundation,,,,2018-2020 Ebola in DRC,40000,0.00
1146,Catholic Agency For Overseas Development (CAFOD),,,,2018-2020 Ebola in DRC,13599.825004761722,0.00
1896,European Commission - International Partnerships,,,,2018-2020 Ebola in DRC,11144.840996169512,0.00
1757,GlobalGiving.org,,,,2018-2020 Ebola in DRC,237,0.00
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2019-2022 COVID-19 Pandemic,7021186423.1900015,9.63
1120,Asian Development Bank,,,,2019-2022 COVID-19 Pandemic,5503329177.19,7.55
1078,United States of America,amro,Americas,Northern America,2019-2022 COVID-19 Pandemic,4558576997.830001,6.26
1443,United States Agency for International Development (USAID),,,,2019-2022 COVID-19 Pandemic,4449348632.380001,6.11
1467,World Bank,,,,2019-2022 COVID-19 Pandemic,4419207330.9,6.06
1525,International Development Association,,,,2019-2022 COVID-19 Pandemic,4349173085.86,5.97
1200,European Union,euro,,,2019-2022 COVID-19 Pandemic,3151398508.66249,4.32
869,Germany,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,3060044735.216934,4.20
1102,African Development Bank,,,,2019-2022 COVID-19 Pandemic,2797185568.9757895,3.84
1199,European Commission,,,,2019-2022 COVID-19 Pandemic,1769901031,2.43
1075,United Kingdom,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,1674309547.7200682,2.30
1244,Inter-American Development Bank,,,,2019-2022 COVID-19 Pandemic,1217996775,1.67
1428,United Nations (UN),,,,2019-2022 COVID-19 Pandemic,1151467731.351695,1.58
1059,Sweden,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,1110306833.775385,1.52
1129,Bill & Melinda Gates Foundation,,,,2019-2022 COVID-19 Pandemic,1002185382.1249998,1.38
908,Canada,amro,Americas,Northern America,2019-2022 COVID-19 Pandemic,665935364.4772965,0.91
945,France,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,641628260.115872,0.88
1472,World Health Organization (WHO),,,,2019-2022 COVID-19 Pandemic,622935283,0.85
1431,United Nations Development Programme (UNDP),,,,2019-2022 COVID-19 Pandemic,527242439,0.72
1896,European Commission - International Partnerships,,,,2019-2022 COVID-19 Pandemic,486219211.62013286,0.67
1912,Diagnostics Consortium for COVID-19,,,,2019-2022 COVID-19 Pandemic,470000000,0.64
1249,International Red Cross and Red Crescent Movement,,,,2019-2022 COVID-19 Pandemic,449499169.26444584,0.62
1017,Norway,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,440742594,0.60
1696,Germany - Federal Foreign Office,,,,2019-2022 COVID-19 Pandemic,417014066.4936817,0.57
868,Netherlands,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,409229341.62360024,0.56
1430,United Nations Children's Fund (UNICEF),,,,2019-2022 COVID-19 Pandemic,374054757.06169486,0.51
1764,Christian Aid,,,,2019-2022 COVID-19 Pandemic,372077529.39860255,0.51
1322,Not reported,,,,2019-2022 COVID-19 Pandemic,266348636,0.37
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2019-2022 COVID-19 Pandemic,263991224.10177138,0.36
1255,International Federation of Red Cross and Red Crescent Societies,,,,2019-2022 COVID-19 Pandemic,247113048.7677772,0.34
1756,OCHA Country Based Pooled Funds,,,,2019-2022 COVID-19 Pandemic,227630100.57999998,0.31
927,Denmark,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,224426583.42167127,0.31
