Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD)
1075,United Kingdom,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,1674309547.720069
1244,Inter-American Development Bank,,,,2019-2022 COVID-19 Pandemic,1217996775
1428,United Nations (UN),,,,2019-2022 COVID-19 Pandemic,1151467731.3516948
1059,Sweden,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,1110306833.775386
1129,Bill & Melinda Gates Foundation,,,,2019-2022 COVID-19 Pandemic,1002185382.1249998
908,Canada,amro,Americas,Northern America,2019-2022 COVID-19 Pandemic,665935364.4772966
945,France,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,641628260.115872
1472,World Health Organization (WHO),,,,2019-2022 COVID-19 Pandemic,622935283
1431,United Nations Development Programme (UNDP),,,,2019-2022 COVID-19 Pandemic,527242439
1896,European Commission - International Partnerships,,,,2019-2022 COVID-19 Pandemic,486219211.62013286
1912,Diagnostics Consortium for COVID-19,,,,2019-2022 COVID-19 Pandemic,470000000
1249,International Red Cross and Red Crescent Movement,,,,2019-2022 COVID-19 Pandemic,449499169.2644459
1017,Norway,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,440742594
1696,Germany - Federal Foreign Office,,,,2019-2022 COVID-19 Pandemic,417014066.4936817
868,Netherlands,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,409229341.6236003
1430,United Nations Children's Fund (UNICEF),,,,2019-2022 COVID-19 Pandemic,374054757.06169486
1764,Christian Aid,,,,2019-2022 COVID-19 Pandemic,372077529.39860255
1322,Not reported,,,,2019-2022 COVID-19 Pandemic,266348636
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2019-2022 COVID-19 Pandemic,263991224.1017714
1255,International Federation of Red Cross and Red Crescent Societies,,,,2019-2022 COVID-19 Pandemic,247113048.76777723
1756,OCHA Country Based Pooled Funds,,,,2019-2022 COVID-19 Pandemic,227630100.58000004
927,Denmark,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,224426583.42167124
1411,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",,,,2019-2022 COVID-19 Pandemic,200792689.2
1173,COVID-19 Solidarity Response Fund,,,,2019-2022 COVID-19 Pandemic,194938818
973,Japan,wpro,Asia,Eastern Asia,2019-2022 COVID-19 Pandemic,187350734
1055,Spain,euro,Europe,Southern Europe,2019-2022 COVID-19 Pandemic,183180927.40990928
1042,Saudi Arabia,emro,Asia,Western Asia,2019-2022 COVID-19 Pandemic,183000000
1501,"Denmark - Ministry of Foreign Affairs, Danida",,,,2019-2022 COVID-19 Pandemic,177058709.4216712
1060,Switzerland,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,157281053.42180634
1759,United Nations Central Emergency Response Fund (CERF),,,,2019-2022 COVID-19 Pandemic,143542630
1758,Netherlands Red Cross,,,,2019-2022 COVID-19 Pandemic,142739620.29759866
971,Italy,euro,Europe,Southern Europe,2019-2022 COVID-19 Pandemic,142302886.64487356
883,Australia,wpro,Oceania,Australia and New Zealand,2019-2022 COVID-19 Pandemic,128668140.9080585
913,China,wpro,Asia,Eastern Asia,2019-2022 COVID-19 Pandemic,125100000
979,Kuwait,emro,Asia,Western Asia,2019-2022 COVID-19 Pandemic,115500000
1819,World Health Organization (WHO) Regional Office for the Americas,,,,2019-2022 COVID-19 Pandemic,110718123
1829,Gates Philanthropy Partners,,,,2019-2022 COVID-19 Pandemic,100869500
891,Belgium,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,92269359.69914506
1701,King Salman Humanitarian Aid and Relief Centre,,,,2019-2022 COVID-19 Pandemic,91271410
1928,UNICEF National Committees,,,,2019-2022 COVID-19 Pandemic,90000000
1554,Spanish Agency for International Development Cooperation (AECID),,,,2019-2022 COVID-19 Pandemic,89831157.40990928
1432,United Nations Food and Agriculture Organization (FAO),,,,2019-2022 COVID-19 Pandemic,84684994.72
1460,Wellcome Trust,,,,2019-2022 COVID-19 Pandemic,76094450
1030,Republic of Korea,wpro,Asia,Eastern Asia,2019-2022 COVID-19 Pandemic,72622396.01629022
